回数,WS_name,company_name,address,LocName,fX,fY
4,WORKSTYLING 横浜,AGCグラスプロダクツ株式会社,東京都台東区東上野4-24-11,東京都/台東区/東上野/四丁目/２４番,139.78198,35.71535
3,WORKSTYLING 横浜,DSM株式会社,東京都港区芝公園2-6-3,東京都/港区/芝公園/二丁目/６番,139.75049,35.65554
57,WORKSTYLING 横浜,JFEエンジニアリング株式会社,東京都千代田区丸の内1-8?1,東京都/千代田区/丸の内/一丁目/８番,139.76956,35.68267
22,WORKSTYLING 横浜,NECネッツエスアイ株式会社,東京都文京区後楽2-6-1,東京都/文京区/後楽/二丁目/６番,139.74509,35.7054
1,WORKSTYLING 横浜,PSソリューションズ株式会社,東京都港区東新橋1-5-2,東京都/港区/東新橋/一丁目/５番,139.7614,35.66563
6,WORKSTYLING 横浜,PwC税理士法人,東京都千代田区霞が関3-2?5,東京都/千代田区/霞が関/三丁目/２番,139.74791,35.67119
1,WORKSTYLING 横浜,Sansan株式会社,東京都渋谷区神宮前5?52?2,東京都/渋谷区/神宮前/五丁目,139.70602,35.66452
4,WORKSTYLING 横浜,アビームコンサルティング株式会社,東京都千代田区丸の内1-4-1,東京都/千代田区/丸の内/一丁目/４番,139.76479,35.68402
4,WORKSTYLING 横浜,クリーンエア・スカンジナビア株式会社,東京都港区東新橋1-5?2,東京都/港区/東新橋/一丁目/５番,139.7614,35.66563
38,WORKSTYLING 横浜,コクヨ株式会社,東京都港区港南1-8?35,東京都/港区/港南/一丁目/８番,139.74399,35.63012
38,WORKSTYLING 横浜,シスコシステムズ合同会社,東京都港区赤坂9-7-1,東京都/港区/赤坂/九丁目/７番,139.73221,35.66602
4,WORKSTYLING 横浜,マーサージャパン株式会社,東京都新宿区西新宿3-20?2,東京都/新宿区/西新宿/三丁目/２０番,139.68678,35.68319
48,WORKSTYLING 横浜,ヤフー株式会社,東京都千代田区紀尾井町1-3,東京都/千代田区/紀尾井町/１番,139.73718,35.67992
2,WORKSTYLING 横浜,ヤマハ株式会社,東京都港区高輪2?17?11,東京都/港区/高輪/二丁目,139.73688,35.63742
6,WORKSTYLING 横浜,ユニリーバ・ジャパン・カスタマーマーケティング株式会社,東京都目黒区上目黒2-1-1,東京都/目黒区/上目黒/二丁目/１番,139.69885,35.64357
11,WORKSTYLING 横浜,ユニリーバ・ジャパン・サービス株式会社,東京都目黒区上目黒2-1-1,東京都/目黒区/上目黒/二丁目/１番,139.69885,35.64357
5,WORKSTYLING 横浜,ユニリーバ・ジャパン・ホールディングス株式会社,東京都目黒区上目黒2-1-1,東京都/目黒区/上目黒/二丁目/１番,139.69885,35.64357
10,WORKSTYLING 横浜,ユニリーバ・ジャパン株式会社,東京都目黒区上目黒2-1-1,東京都/目黒区/上目黒/二丁目/１番,139.69885,35.64357
9,WORKSTYLING 横浜,ららぽーとエージェンシー株式会社,東京都中央区日本橋浜町2-31-1,東京都/中央区/日本橋浜町/二丁目/３１番,139.78699,35.68779
17,WORKSTYLING 横浜,株式会社NBFオフィスマネジメント,東京都中央区銀座6-17-1,東京都/中央区/銀座/六丁目/１７番,139.76654,35.66751
44,WORKSTYLING 横浜,株式会社NTTドコモ,東京都千代田区永田町2-11-1,東京都/千代田区/永田町/二丁目/１１番,139.74059,35.67326
13,WORKSTYLING 横浜,株式会社エヌ・ティ・ティ・データ,東京都江東区豊洲3-3-3,東京都/江東区/豊洲/三丁目/３番,139.79672,35.65571
4,WORKSTYLING 横浜,株式会社エヌ・ティ・ティネオメイト,東京都文京区小石川1-4-1,東京都/文京区/小石川/一丁目/４番,139.75233,35.71002
7,WORKSTYLING 横浜,株式会社べルコンサルJP,神奈川県横浜市瀬谷区本郷3-58-10,神奈川県/横浜市/瀬谷区/本郷/三丁目/５８番,139.47374,35.47206
6,WORKSTYLING 横浜,株式会社ラック,東京都千代田区平河町2-16-1,東京都/千代田区/平河町/二丁目/１６番,139.74239,35.67955
2,WORKSTYLING 横浜,株式会社関電工,東京都港区芝4-8-33,東京都/港区/芝/四丁目/８番,139.75311,35.64881
33,WORKSTYLING 横浜,株式会社三菱総合研究所,東京都千代田区永田町2-10-3,東京都/千代田区/永田町/二丁目/１０番,139.73984,35.67485
23,WORKSTYLING 横浜,株式会社電通,東京都港区東新橋1-8-1,東京都/港区/東新橋/一丁目/８番,139.76227,35.66455
2,WORKSTYLING 横浜,株式会社電通アドギア,東京都中央区銀座8-21-1,東京都/中央区/銀座/八丁目/２１番,139.7639,35.66413
54,WORKSTYLING 横浜,株式会社日建設計,東京都千代田区飯田橋2-18-3,東京都/千代田区/飯田橋/二丁目/１８番,139.75116,35.69929
2,WORKSTYLING 横浜,株式会社日立ビルシステム,東京都千代田区神田淡路町2-101,東京都/千代田区/神田淡路町/二丁目/１０１番地,139.76688,35.69763
1,WORKSTYLING 横浜,株式会社博報堂,東京都港区赤坂5-3-1,東京都/港区/赤坂/五丁目/３番,139.73517,35.67256
1,WORKSTYLING 横浜,株式会社富士ゼロックス総合教育研究所,東京都港区六本木3-1-1,東京都/港区/六本木/三丁目/１番,139.73784,35.66545
5,WORKSTYLING 横浜,株式会社野村総合研究所,東京都千代田区大手町1-9-2,東京都/千代田区/大手町/一丁目/９番,139.76541,35.68829
10,WORKSTYLING 横浜,株式会社髙島屋,東京都中央区日本橋2-4-1,東京都/中央区/日本橋/二丁目/４番,139.77345,35.68077
2,WORKSTYLING 横浜,丸紅株式会社,東京都中央区日本橋2-7-1,東京都/中央区/日本橋/二丁目/７番,139.77417,35.68193
18,WORKSTYLING 横浜,三井デザインテック株式会社,東京都港区芝3-2?18,東京都/港区/芝/三丁目/２番,139.74657,35.65336
1,WORKSTYLING 横浜,三井情報株式会社,東京都港区愛宕2-5-1,東京都/港区/愛宕/二丁目/５番,139.74896,35.66205
9,WORKSTYLING 横浜,三井不動産ビルマネジメント株式会社,東京都中央区銀座6-17-1,東京都/中央区/銀座/六丁目/１７番,139.76654,35.66751
6,WORKSTYLING 横浜,三井不動産レジデンシャルリース株式会社,東京都新宿区西新宿2-1-1,東京都/新宿区/西新宿/二丁目/１番,139.69392,35.69166
5,WORKSTYLING 横浜,三井不動産レジデンシャル株式会社,東京都中央区銀座6-17-1,東京都/中央区/銀座/六丁目/１７番,139.76654,35.66751
112,WORKSTYLING 横浜,三井不動産株式会社,東京都中央区日本橋室町2-1-1,東京都/中央区/日本橋室町/二丁目/１番,139.77303,35.6867
1,WORKSTYLING 横浜,三井不動産商業マネジメント株式会社,東京都中央区日本橋浜町2-31-1,東京都/中央区/日本橋浜町/二丁目/３１番,139.78699,35.68779
20,WORKSTYLING 横浜,三井物産株式会社,東京都千代田区丸の内1-1-3,東京都/千代田区/丸の内/一丁目/１番,139.76176,35.68456
30,WORKSTYLING 横浜,資生堂ジャパン株式会社,東京都港区東新橋1-6?2,東京都/港区/東新橋/一丁目/６番,139.76015,35.66426
9,WORKSTYLING 横浜,鹿島建設株式会社,東京都港区元赤坂1-3-1,東京都/港区/元赤坂/一丁目/３番,139.73395,35.67704
1,WORKSTYLING 横浜,清水建設株式会社,東京都中央区京橋2-16-1,東京都/中央区/京橋/二丁目/１６番,139.77303,35.67662
2,WORKSTYLING 横浜,東京電力エナジーパートナー株式会社,東京都港区海岸1-11-1,東京都/港区/海岸/一丁目/１１番,139.76341,35.65524
17,WORKSTYLING 横浜,凸版印刷株式会社,東京都台東区台東1-5-1,東京都/台東区/台東/一丁目/５番,139.77817,35.70091
1,WORKSTYLING 横浜,日本ユニシス株式会社,東京都江東区豊洲1?1?1,東京都/江東区/豊洲/一丁目,139.79204,35.66181
106,WORKSTYLING 横浜,富士ゼロックス株式会社,東京都港区赤坂9-7-3,東京都/港区/赤坂/九丁目/７番,139.73221,35.66602
462,WORKSTYLING 横浜,味の素株式会社,東京都中央区京橋1-15-1,東京都/中央区/京橋/一丁目/１５番,139.77327,35.67701
3,WORKSTYLING 横浜,味の素冷凍食品株式会社,東京都中央区銀座7-14-13,東京都/中央区/銀座/七丁目/１４番,139.7648,35.66739
4,WORKSTYLING 霞が関,AGCグラスプロダクツ株式会社,東京都台東区東上野4-24-11,東京都/台東区/東上野/四丁目/２４番,139.78198,35.71535
5,WORKSTYLING 霞が関,JFEエンジニアリング株式会社,東京都千代田区丸の内1-8?1,東京都/千代田区/丸の内/一丁目/８番,139.76956,35.68267
6,WORKSTYLING 霞が関,KMT株式会社,長崎県諫早市津久葉町2060-15,長崎県/諫早市/津久葉町/２０６０番地,130.01628,32.82634
1,WORKSTYLING 霞が関,MTUJapan,大阪府大阪市北区西天満4-14-3,大阪府/大阪市/北区/西天満/四丁目/１４番,135.50133,34.69724
24,WORKSTYLING 霞が関,NECネッツエスアイ株式会社,東京都文京区後楽2-6-1,東京都/文京区/後楽/二丁目/６番,139.74509,35.7054
67,WORKSTYLING 霞が関,PwC税理士法人,東京都千代田区霞が関3-2?5,東京都/千代田区/霞が関/三丁目/２番,139.74791,35.67119
